v1,v2
ham,Thanks for confirming your availability.
spam,Claim your free hotel stay now!
ham,Your order is ready for pickup.
spam,Your exclusive offer is waiting click here!
ham,Please find the attached NDA document.
spam,Win instant cash prizes today only!
ham,Let’s have a quick call after lunch.
spam,"you won $10,000 congratulations!"
ham,Thanks for sending the report early.
spam,Click below to unlock your reward!
ham,Please share your availability for tomorrow’s call.
spam,Join now to get instant rewards!
ham,I’ll see you at the gym later.
spam,Register now and get free bonus credits!
ham,Your registration was successful.
spam,Don’t miss this once-in-a-lifetime offer!
ham,Please ensure the form is filled correctly.
spam,You’ve been awarded free membership!
ham,Looking forward to seeing you soon.
spam,Participate now to win rewards!
ham,Your feedback has been recorded.
spam,Sign up today and get 50% off!
ham,Please send your availability for the session.
spam,Your lucky number has been selected!
ham,Thanks for confirming the appointment.
spam,This deal is exclusively for you!
ham,Please verify the details before submission.
spam,You’ve been shortlisted for a free trip!
ham,See you at the event tonight.
spam,Activate your account to claim rewards!


